modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
TBATS,tmax,13,0.4357,0.3514,0.099,0.0755
TBATS,tmax,14,0.4378,0.3399,0.0365,0.0407
TBATS,tmax,15,0.413,0.3015,-0.099,-0.0583
TBATS,tmax,16,0.3722,0.2856,-0.0929,-0.043
TBATS,tmax,17,0.3406,0.2279,0.0511,-0.094
TBATS,tmax,18,0.3115,0.2081,-0.0197,-0.0288
TBATS,tmax,19,0.3009,0.2078,0.0599,0.0581
TBATS,tmax,20,0.2945,0.2325,0.0403,0.1281
TBATS,tmin,0,1.0,1.0,1.0,1.0
TBATS,tmin,1,0.9573,0.6108,0.9617,0.6136
TBATS,tmin,2,0.9239,0.6089,0.1008,0.3817
TBATS,tmin,3,0.8919,0.5696,0.0135,0.2068
TBATS,tmin,4,0.8702,0.5278,0.1286,0.0997
TBATS,tmin,5,0.8461,0.5575,-0.0118,0.1834
TBATS,tmin,6,0.8244,0.5508,0.0234,0.1482
TBATS,tmin,7,0.8064,0.5165,0.0652,0.0469
TBATS,tmin,8,0.7902,0.4821,0.0283,-0.0105
TBATS,tmin,9,0.7815,0.4621,0.1187,0.0068
TBATS,tmin,10,0.7636,0.465,-0.0893,0.0551
TBATS,tmin,11,0.746,0.483,-0.0149,0.0965
TBATS,tmin,12,0.7326,0.4959,0.0794,0.1056
TBATS,tmin,13,0.7176,0.5116,-0.0427,0.1258
TBATS,tmin,14,0.7004,0.4884,-0.0285,0.0557
TBATS,tmin,15,0.6813,0.4158,-0.0216,-0.1126
TBATS,tmin,16,0.6565,0.4011,-0.1234,-0.0852
TBATS,tmin,17,0.6343,0.4599,0.0039,0.1271
TBATS,tmin,18,0.615,0.4243,0.0017,0.0077
TBATS,tmin,19,0.5939,0.428,-0.0557,-0.0099
TBATS,tmin,20,0.5629,0.4382,-0.1589,0.0768
